key,2015,2016,2017-18,2019,2020,2021,2022,2023,2024
Country,Russian Federation,Russian Federation,Russian Federation,Russian Federation,Russian Federation,Russian Federation,Russian Federation,Russian Federation,Russian Federation
Country Code,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS
Region,Eastern Europe and Central Asia,Eastern Europe and Central Asia,Eastern Europe and Central Asia,Eastern Europe and Central Asia,Eastern Europe and Central Asia,Eastern Europe and Central Asia,Eastern Europe and Central Asia,Eastern Europe and Central Asia,Eastern Europe and Central Asia
Income Group,High,Upper-middle,Upper-middle,Upper-middle,Upper-middle,Upper-middle,Upper-middle,Upper-middle,Upper-middle
WJP Rule of Law Index: Overall Score,0.47401091,0.4574682,0.46905482,0.4721309,0.4652947,0.46221588,0.44582297,0.43614963,0.42842878
Factor 1: Constraints on Government Powers,0.391762,0.400269,0.39221783,0.37025209,0.36476594,0.34609244,0.33223045,0.32034482,0.31032399
1.1 Government powers are effectively limited by the legislature,0.403511,0.354693,0.36352,0.35457107,0.36377091,0.34382432,0.3382409,0.33566767,0.34326117
1.2 Government powers are effectively limited by the judiciary,0.320954,0.371528,0.371876,0.34275374,0.33279999,0.31783991,0.31034935,0.30734562,0.30551136
1.3 Government powers are effectively limited by independent auditing and review,0.442276,0.470687,0.410336,0.38781645,0.36883366,0.35244833,0.35086408,0.32282781,0.29861581
1.4 Government officials are sanctioned for misconduct,0.386509,0.370508,0.365007,0.33385141,0.33483301,0.32723064,0.32602378,0.31132982,0.29381414
1.5 Government powers are subject to non-governmental checks,0.395429,0.413432,0.420743,0.39218583,0.39128453,0.37083862,0.32613134,0.30567176,0.30078279
1.6 Transition of power is subject to the law,0.401893,0.420766,0.421825,0.41033402,0.39707356,0.36437281,0.34177327,0.33922625,0.31995866
Factor 2: Absence of Corruption,0.45431702,0.4244904,0.42629325,0.45276218,0.42961821,0.42212496,0.41499355,0.4147626,0.41604718
2.1 Government officials in the executive branch do not use public office for private gain,0.42602575,0.415285,0.41244,0.43160874,0.40896666,0.39905065,0.39571611,0.39918579,0.39902721
2.2 Government officials in the judicial branch do not use public office for private gain,0.53776235,0.52499461,0.541988,0.57437687,0.55406687,0.54189773,0.52251541,0.5162162,0.51535035
2.3 Government officials in the police and the military do not use public office for private gain,0.510715,0.501072,0.515996,0.53279528,0.5118296,0.52182246,0.51973677,0.5199428,0.52447819
2.4 Government officials in the legislative branch do not use public office for private gain,0.342765,0.25661,0.234749,0.27226783,0.24360971,0.225729,0.2220059,0.22370561,0.22533296
Factor 3: Open Government,0.51231572,0.49215475,0.48163775,0.49356642,0.49005484,0.48581331,0.46854765,0.45316576,0.44925287
3.1. Publicized laws and government data,0.45027863,0.473664,0.525215,0.57229099,0.57165677,0.57317667,0.56473342,0.55805587,0.55043345
3.2 Right to information,0.54615439,0.487871,0.353469,0.39637957,0.39772115,0.40661135,0.40984148,0.37175525,0.3825122
3.3 Civic participation,0.45378326,0.412723,0.426839,0.38649044,0.3903642,0.37495573,0.32777715,0.31361078,0.30655536
3.4 Complaint mechanisms,0.59904661,0.594361,0.621028,0.6191047,0.60047725,0.58850949,0.57183855,0.56924115,0.55751047
Factor 4: Fundamental Rights,0.47014271,0.44231636,0.44109,0.44911184,0.44087667,0.42414903,0.39622187,0.38070815,0.36059401
4.1 Equal treatment and absence of discrimination,0.54777966,0.587722,0.575365,0.56966449,0.58440868,0.57980956,0.5683192,0.55760368,0.54782979
4.2 The right to life and security of the person is effectively guaranteed,0.479033,0.40491,0.441376,0.48378639,0.45234962,0.44979655,0.38471293,0.33640567,0.26456639
4.3 Due process of the law and rights of the accused,0.382599,0.3506939,0.371211,0.38124871,0.36499976,0.35133422,0.33833623,0.33528433,0.33083282
4.4 Freedom of opinion and expression is effectively guaranteed,0.398443,0.413432,0.420743,0.39218583,0.39128453,0.37083862,0.32613134,0.30567176,0.30078279
4.5 Freedom of belief and religion is effectively guaranteed,0.616142,0.563451,0.51751,0.5685089,0.54462499,0.48596923,0.45014766,0.44748051,0.4116144
4.6 Freedom from arbitrary interference with privacy is effectively guaranteed,0.298007,0.184804,0.186275,0.23502909,0.20419387,0.18022874,0.17981615,0.14795749,0.12206659
4.7 Freedom of assembly and association is effectively guaranteed,0.462686,0.42107,0.449459,0.40593842,0.412326,0.38589334,0.35200864,0.3349776,0.32994442
4.8 Fundamental labor rights are effectively guaranteed,0.576452,0.612448,0.566781,0.55653285,0.57282594,0.58932195,0.57030285,0.58028418,0.57711488
Factor 5: Order and Security,0.62950048,0.56460167,0.65075967,0.66452681,0.65988078,0.69671083,0.68304755,0.65933062,0.63113817
5.1 Crime is effectively controlled,0.73050144,0.749121,0.761341,0.75351944,0.76458133,0.7719794,0.77651588,0.77937828,0.78747637
5.2 Civil conflict is effectively limited,0.69875,0.6025,0.8525,0.8525,0.8275,0.9375,0.915,0.8525,0.7675
5.3 People do not resort to violence to redress personal grievances,0.45925,0.342184,0.338438,0.387561,0.387561,0.38065311,0.35762677,0.34611358,0.33843813
Factor 6: Regulatory Enforcement,0.45702584,0.47350963,0.48581454,0.4888791,0.48653985,0.48151221,0.45990719,0.4623102,0.46510901
6.1 Government regulations are effectively enforced,0.544502,0.572812,0.566337,0.54151507,0.54601804,0.53946248,0.53503164,0.5393061,0.53614359
6.2 Government regulations are applied and enforced without improper influence,0.51076064,0.51633214,0.5507387,0.55660184,0.55077574,0.53531276,0.52674266,0.53221337,0.54152042
6.3 Administrative proceedings are conducted without unreasonable delay,0.54334,0.611408,0.624154,0.57967758,0.61395554,0.61654021,0.57598941,0.57070963,0.58655976
6.4 Due process is respected in administrative proceedings,0.33541788,0.327398,0.300158,0.39684515,0.34116039,0.33791406,0.30185438,0.31316468,0.31641829
6.5 The government does not expropriate without lawful process and adequate compensation,0.3511087,0.339598,0.387685,0.36975587,0.38078955,0.37833151,0.35991783,0.35615722,0.344903
Factor 7: Civil Justice,0.5132552,0.52631056,0.54009785,0.52037956,0.53670397,0.53127485,0.50746724,0.50643455,0.50142443
7.1 People can access and afford civil justice,0.58997448,0.59488695,0.58776792,0.58164317,0.59458748,0.62519655,0.61278416,0.623617,0.62534715
7.2 Civil justice is free of discrimination,0.537219,0.562129,0.580627,0.52374243,0.56693707,0.54526509,0.49177573,0.47716944,0.47442609
7.3 Civil justice is free of corruption,0.484179,0.498318,0.510659,0.54342577,0.53565606,0.51313009,0.48281722,0.48230168,0.48131046
7.4 Civil justice is free of improper government influence,0.305671,0.334222,0.344015,0.31943751,0.29889243,0.27393421,0.263803,0.25256274,0.24613965
7.5 Civil justice is not subject to unreasonable delay,0.68372094,0.745936,0.739779,0.70484143,0.73893268,0.73911882,0.72942942,0.73828438,0.74323907
7.6. Civil justice is effectively enforced,0.351618,0.356591,0.451595,0.41933269,0.47084858,0.47129628,0.44990021,0.46847427,0.44946808
"7.7 Alternative dispute resolution mechanisms are accessible, impartial, and effective",0.640404,0.592091,0.566242,0.55023392,0.55107347,0.55098293,0.52176093,0.50263237,0.49004052
Factor 8: Criminal Justice,0.36376834,0.33609324,0.33452771,0.33756916,0.31391736,0.31004942,0.30416823,0.29214031,0.29354058
8.1 Criminal investigation system is effective,0.39552595,0.25217201,0.274549,0.23904424,0.2136189,0.19097554,0.19323552,0.18773644,0.18991438
8.2 Criminal adjudication system is timely and effective,0.47095353,0.435903,0.386209,0.35929473,0.33168354,0.34899745,0.35034921,0.34311702,0.34946938
8.3 Correctional system is effective in reducing criminal behavior,0.366727,0.380456,0.370031,0.38456254,0.36437345,0.35917758,0.33373148,0.31725206,0.33333968
8.4 Criminal system is impartial,0.42518,0.45019,0.351268,0.37654072,0.37895677,0.35401106,0.34547159,0.32689692,0.30841785
8.5 Criminal system is free of corruption,0.42478289,0.42837278,0.464024,0.47643203,0.45188217,0.45986372,0.46206722,0.46285342,0.45572605
8.6 Criminal system is free of improper government influence,0.08061,0.054865,0.124402,0.14586119,0.09190693,0.10598639,0.10598639,0.07184197,0.08708387
8.7. Due process of the law and rights of the accused,0.382599,0.3506939,0.371211,0.38124871,0.36499976,0.35133422,0.33833623,0.33528433,0.33083282